"timestamp_utc","project_name","input_file","output_file","defects_total","accepted_count","flagged_count"
"2026-08-07T17:55:52.512513+00:00","SampleProject","data\input\synthetic_defects_sprint1.json","data\output\report_sprint1.json","3","0","3"
"2026-08-07T17:54:42.992948+00:00","SampleProject","data\input\synthetic_defects_with_experiment_outcomes.json","data\output\report_with_experiment_outcomes.json","2","2","0"
"2026-08-07T17:54:41.818954+00:00","SampleProject","data\input\synthetic_defects_with_evidence.json","data\output\report_with_evidence.json","2","2","0"
"2026-08-07T17:54:40.533932+00:00","SampleProject","data\input\synthetic_defects_sprint1_mixed.json","data\output\report_sprint1_mixed.json","3","0","3"
"2026-08-07T17:30:39.586162+00:00","SampleProject","data\input\synthetic_defects_sprint1_mixed.json","data\output\report_sprint1_mixed.json","3","2","1"
"2026-08-07T17:30:34.736666+00:00","SampleProject","data\input\synthetic_defects_sprint1.json","data\output\report_sprint1.json","3","2","1"
"2026-08-06T21:43:23.572290+00:00","SampleProject","data\input\synthetic_defects_sprint1.json","data\output\report_sprint1.json","3","3","0"
2026-08-11T18:23:08.634698+00:00,SampleProject,data\input\synthetic_defects_sprint1.json,data\output\report_sprint1_orchestrated.json,3,0,3
2026-08-12T15:59:57.932116+00:00,SampleProject,data\input\synthetic_defects_sprint1.json,data\output\report_sprint1.json,3,0,3
2026-08-13T04:49:41.953905+00:00,SampleProject,data\input\synthetic_defects_sprint1.json,data\output\report_sprint1.json,3,0,3
